session,totalsubs,des_period,tickets0,tickets1,big_prize,win_group,lottery
2,8,3,0,5,80,1,24
2,8,2,10,2,80,0,24
1,8,3,5,2,80,1,24
2,8,1,6,6,80,0,24
1,8,2,10,9,80,1,24
1,8,1,17,11,80,0,24
4,8,1,17,19,80,0,24
4,8,2,15,12,80,1,24
3,8,1,14,11,80,0,24
4,8,3,15,20,80,1,24
3,8,2,10,15,80,1,24
3,8,3,7,9,80,1,24
5,8,1,11,15,80,1,24
6,8,1,2,0,80,0,24
5,8,2,0,14,80,1,24
5,8,3,2,7,80,1,24
6,8,2,0,6,80,1,24
6,8,3,0,5,80,1,24
7,8,1,12,5,80,0,24
7,8,2,18,4,80,0,24
7,8,3,10,13,80,1,24
8,8,1,15,0,80,0,24
8,8,2,12,0,80,0,24
8,8,3,7,0,80,0,24
9,8,1,19,13,80,0,24
9,8,2,20,23,80,1,24
10,8,1,21,0,80,0,24
9,8,3,17,8,80,1,24
10,8,2,10,5,80,0,24
10,8,3,14,6,80,0,24
11,8,1,7,1,80,0,24
11,8,2,7,0,80,0,24
11,8,3,9,3,80,1,24
12,8,1,13,9,80,1,24
12,8,2,14,9,80,1,24
12,8,3,15,1,80,0,24
14,8,1,16,12,80,1,24
14,8,2,17,8,80,0,24
13,8,1,12,13,80,1,24
14,8,3,10,9,80,1,24
13,8,2,9,10,80,1,24
13,8,3,8,0,80,0,24
15,8,1,18,11,80,0,24
15,8,2,2,12,80,1,24
15,8,3,1,3,80,0,24
16,8,1,4,8,80,0,24
16,8,2,4,3,80,1,24
16,8,3,10,13,80,0,24
17,8,1,10,6,80,1,24
17,8,2,7,0,80,0,24
17,8,3,0,0,80,9,24
18,8,1,15,7,80,0,24
18,8,2,5,14,80,1,24
18,8,3,12,3,80,0,24
99,8,1,10,13,80,1,24
99,8,2,18,7,80,1,24
99,8,3,8,11,80,0,24
19,8,1,14,7,80,0,24
20,8,1,11,0,80,0,24
20,8,2,9,2,80,0,24
20,8,3,0,0,80,9,24
19,8,2,6,7,80,0,24
19,8,3,4,7,80,1,24
21,8,1,0,8,80,1,24
22,8,1,8,12,80,1,24
21,8,2,12,8,80,1,24
22,8,2,11,0,80,0,24
21,8,3,0,0,80,9,24
22,8,3,15,0,80,0,24
23,8,1,8,18,80,1,24
24,8,1,9,12,80,0,24
23,8,2,6,14,80,0,24
24,8,2,8,11,80,1,24
23,8,3,2,14,80,1,24
24,8,3,12,5,80,0,24
